"muck_org","V1","d0","d1","d2","d3","d4","source","Source","avg_align","followers_count","friends_count","lang","media_handle","media_name","muck_role","muckrack_slug","protected","status_coordinates","status_lang","statuses_count","utc_offset","verified","mean_ideology_following","n_pol_follows","total_articles","dem","rep","lo"
"",10091,0.0230561189487,-0.0161897914093,-0.00593901097417,-0.0299525001526,0.0108670379712,537432779,"",NA,241,625,"en","","","","",FALSE,"","en",394,"None",FALSE,1.0473327026,14,NA,NA,NA,NA
"",10092,-0.0118521077566,0.0126762712184,0.00752381905184,0.00138857911569,0.0105212462365,537433257,"",NA,344,1157,"en","","","","",FALSE,"","en",386,"None",FALSE,-1.29060709436,8,NA,NA,NA,NA
"",10093,8.44910050492e-05,-0.00880075513661,0.00153176446212,0.00638497398258,0.00683050406185,537591024,"",NA,222,588,"en","","","","",FALSE,"","en",521,"-14400",FALSE,-1.63636643573,3,NA,NA,NA,NA
"",10094,0.00397596960207,-0.00339739196115,-0.000756773375189,-0.0185076918628,0.00810843063872,537596062,"",NA,1345,2007,"en","","","","",FALSE,"","en",1579,"-10800",FALSE,0.919787364944,5,NA,NA,NA,NA
"",10095,-0.00205582014841,-0.0116785020202,-0.0073505168749,0.00898944188974,0.0095014590711,53761740,"",NA,282,545,"en","","","","",FALSE,"","en",8894,"-14400",FALSE,-1.4665157213,6,NA,NA,NA,NA
"",10096,0.0011845934413,-0.00660361291227,-0.00149842258187,0.00587767165986,0.00575467956525,537684689,"",NA,40,178,"en","","","","",FALSE,"","en",46,"-14400",FALSE,-1.16181600628,4,NA,NA,NA,NA
"",10097,-0.00901237367294,-0.00361701118695,-0.00258288750275,-0.0199541182878,0.00779131756834,53771627,"",NA,54,235,"en","","","","",FALSE,"","en",110,"-18000",FALSE,0.912889927978,6,NA,NA,NA,NA
"",10098,0.019332163399,0.0252260785079,0.0276026796304,0.00134374184368,0.0152345986734,537855645,"",NA,496,1961,"en","","","","",FALSE,"","en",46,"None",FALSE,0.227724832416,10,NA,NA,NA,NA
"",10099,-0.0123766912003,0.00571411622043,0.0130110763031,0.00230665883128,0.0108847123531,538144985,"",NA,273,790,"en","","","","",FALSE,"","en",239,"-21600",FALSE,-1.66844813809,3,NA,NA,NA,NA
"",10100,-0.00745885819321,0.00530619289002,0.00641761438794,-0.00535945089507,0.0079311924325,53829412,"",NA,325,743,"en","","","","",FALSE,"","en",6065,"-18000",FALSE,0.372352309893,7,NA,NA,NA,NA
